Z,Y,X,Red,Green,Blue,Size
0,63,70,169,161,157,1
0,63,71,161,149,147,1
0,63,72,145,133,120,1
0,63,73,107,101,89,1
0,63,74,74,66,54,1
0,63,75,55,41,30,1
0,63,184,54,76,96,1
0,63,185,125,144,130,1
0,63,186,129,147,131,1
0,63,187,119,106,112,1
0,63,188,132,139,142,1
0,63,189,153,168,174,1
0,63,190,170,163,170,1
0,63,191,156,150,144,1
0,63,192,138,130,118,1
0,63,193,118,111,104,1
0,63,194,91,80,69,1
0,63,195,67,79,85,1
0,63,196,107,118,138,1
0,63,197,161,152,139,1
0,63,198,161,167,156,1
0,63,199,160,153,141,1
0,63,200,138,130,106,1
0,63,201,94,85,75,1
0,63,202,69,74,55,1
0,63,312,56,73,92,1
0,63,313,116,142,145,1
0,63,314,131,138,134,1
0,63,315,115,108,109,1
0,63,316,117,134,138,1
0,63,317,148,170,181,1
0,63,318,176,161,166,1
0,63,319,157,161,167,1
0,63,320,143,128,122,1
0,63,321,117,107,102,1
0,63,322,94,85,72,1
0,63,323,69,65,78,1
0,63,324,100,103,130,1
0,63,325,158,150,139,1
0,63,326,154,164,158,1
0,63,327,153,137,129,1
0,63,328,124,105,86,1
0,63,329,80,74,64,1
0,63,330,59,63,51,1
0,64,56,51,73,99,1
0,64,57,120,138,147,1
0,64,58,144,154,150,1
0,64,59,126,121,120,1
0,64,60,119,130,142,1
0,64,61,143,159,166,1
0,64,62,156,151,151,1
0,64,63,158,151,150,1
0,64,64,140,135,128,1
0,64,65,115,103,98,1
0,64,66,90,84,76,1
0,64,67,74,68,67,1
0,64,68,77,85,109,1
0,64,69,135,141,144,1
0,64,70,154,154,147,1
0,64,71,136,118,111,1
0,64,72,103,86,68,1
0,64,73,64,67,61,1
0,64,74,56,54,43,1
0,64,184,49,63,89,1
0,64,185,121,144,155,1
0,64,186,158,158,141,1
0,64,187,127,117,116,1
0,64,188,119,123,121,1
0,64,189,130,151,163,1
0,64,190,159,154,148,1
0,64,191,169,152,141,1
